system_id,dataset,z_lens,z_source,sigma_obs,sigma_obs_err,ra_deg,dec_deg,observation,subhalo_count
141622.34+513630.4,sdss,0.2987,0.8111,240,25,214.09308,51.60844,,
142015.85+601914.8,sdss,0.0629,0.5351,205,10,215.06604,60.32078,,
143004.10+410557.1,sdss,0.285,0.5753,322,32,217.51708,41.09919,,
143039.86+511530.9,sdss,0.1337,0.4503,206,10,217.66608,51.25858,,
143213.34+631703.8,sdss,0.123,0.6643,199,10,218.05558,63.28439,,
143609.50+493927.3,sdss,0.1225,0.3145,212,12,219.03958,49.65758,,
143627.54-000029.2,sdss,0.2852,0.8049,224,17,219.11475,-0.00811,,
144319.62+030408.2,sdss,0.1338,0.4187,209,11,220.83175,3.06894,,
144858.24-011614.6,sdss,0.1474,0.7807,187,10,222.24267,-1.27072,,
145128.19-023936.4,sdss,0.1254,0.5203,223,14,222.86746,-2.66011,data/observations/sdss/145128.19-023936.4.npz,
145218.94-005820.2,sdss,0.177,0.5131,193,11,223.07892,-0.97228,,
151505.14+612848.3,sdss,0.2421,0.38,212,25,228.77142,61.48008,,
152009.08-003457.3,sdss,0.114,0.3954,196,16,230.03783,-0.58258,,
152444.37-005209.1,sdss,0.1524,0.7323,150,22,231.18487,-0.86919,,
152506.70+332747.4,sdss,0.3583,0.7173,264,26,231.27792,33.46317,,
152524.63+011401.7,sdss,0.1294,0.6269,158,10,231.35262,1.23381,,
153150.07-010545.7,sdss,0.1596,0.7439,279,14,232.95862,-1.09603,data/observations/sdss/153150.07-010545.7.npz,
153530.38-003852.3,sdss,0.1613,0.6585,254,15,233.87658,-0.64786,,
153711.26+412554.6,sdss,0.1423,0.6811,204,14,234.29692,41.43183,,
153812.92+581709.8,sdss,0.1428,0.5312,189,12,234.55383,58.28606,,
154100.77+413058.7,sdss,0.1423,0.5033,215,11,235.25321,41.51631,,
154731.22+572000.0,sdss,0.1883,0.3958,254,13,236.88008,57.33333,,
155003.12+525846.7,sdss,0.0491,0.7396,202,10,237.513,52.97964,,
160453.49+335546.2,sdss,0.0786,0.35,228,11,241.22287,33.9295,,
161437.74+452253.3,sdss,0.1779,0.8113,182,13,243.65725,45.38147,,
162132.99+393144.6,sdss,0.2449,0.6021,236,20,245.38746,39.52906,,
162746.45-005357.6,sdss,0.2076,0.5241,290,15,246.94354,-0.89933,data/observations/sdss/162746.45-005357.6.npz,
163028.16+452036.3,sdss,0.2479,0.7933,276,16,247.61733,45.34342,,
163339.26-001256.2,sdss,0.0702,0.206,215,11,248.41358,-0.21561,,
163602.62+470729.6,sdss,0.2282,0.6745,231,15,249.01092,47.12489,data/observations/sdss/163602.62+470729.6.npz,
170013.98+622109.7,sdss,0.1228,0.3584,192,10,255.05825,62.35269,,
170216.76+332044.8,sdss,0.1785,0.4357,256,14,255.56983,33.34578,,
170603.69+330400.9,sdss,0.1682,0.7736,225,12,256.51537,33.06692,,
171723.13+573948.2,sdss,0.1144,0.5748,227,11,259.34637,57.66339,,
211949.65-074201.7,sdss,0.1704,0.5262,207,17,319.95687,-7.70047,,
212151.12+120312.9,sdss,0.1434,0.4862,194,12,320.463,12.05358,,
214154.68-000112.3,sdss,0.138,0.7127,181,14,325.47783,-0.02008,,
220218.32-084648.0,sdss,0.1613,0.5011,231,12,330.57633,-8.78,,
220956.93-075447.9,sdss,0.1112,0.2148,229,16,332.48721,-7.91331,,
222537.34+125957.6,sdss,0.3103,0.6571,248,24,336.40558,12.99933,,
223840.20-075456.0,sdss,0.1371,0.7126,198,11,339.6675,-7.91556,,
224155.71+122814.0,sdss,0.0998,0.7173,176,13,340.48212,12.47056,,
230053.15+002238.0,sdss,0.2285,0.4635,279,17,345.22146,0.37722,,
230220.18-084049.5,sdss,0.0901,0.2224,237,12,345.58408,-8.68042,,
230321.72+142217.9,sdss,0.1553,0.517,255,16,345.8405,14.37164,,
232120.93-093910.3,sdss,0.0819,0.5324,249,12,350.33721,-9.65286,,
234111.57+000018.7,sdss,0.186,0.807,207,13,355.29821,0.00519,data/observations/sdss/234111.57+000018.7.npz,
